annual_anom	actualfuture	year
-48		1880
-45		1881
-35		1882
-36		1883
-63		1884
-47		1885
-61		1886
-66		1887
-45		1888
-19		1889
-55		1890
-59		1891
-49		1892
-52		1893
-42		1894
-34		1895
-31		1896
-22		1897
-37		1898
-30		1899
-14		1900
-14		1901
-35		1902
-42		1903
-54		1904
-36		1905
-25		1906
-54		1907
-40		1908
-43		1909
-36		1910
-37		1911
-34		1912
-33		1913
-9		1914
-8		1915
-32		1916
-53		1917
-43		1918
-20		1919
-28		1920
-17		1921
-25		1922
-28		1923
-23		1924
-26		1925
-4		1926
-18		1927
-11		1928
-34		1929
-15		1930
-9		1931
-11		1932
-23		1933
-9		1934
-22		1935
-8		1936
1		1937
8		1938
-9		1939
9		1940
4		1941
5		1942
1		1943
7		1944
-7		1945
-7		1946
6		1947
-8		1948
-12		1949
-22		1950
-8		1951
-2		1952
7		1953
-13		1954
-11		1955
-22		1956
4		1957
6		1958
4		1959
-2		1960
8		1961
2		1962
1		1963
-26		1964
-17		1965
-7		1966
-2		1967
-10		1968
1		1969
7		1970
-8		1971
-3		1972
22		1973
-4		1974
2		1975
-18		1976
21		1977
13		1978
20		1979
34		1980
43		1981
13		1982
38		1983
21		1984
20		1985
24		1986
40		1987
49		1988
37		1989
51		1990
50		1991
22		1992
25		1993
36		1994
55		1995
46		1996
53		1997
83		1998
59		1999
57		2000
68		2001
79		2002
78		2003
68		2004
88		2005
79		2006
87		2007
66		2008
80		2009
93		2010
	80	2011
	79	2012
	83	2013
	89	2014
	100	2015
